Test
Numero screenShot-Nivel                Label
            797                   : 65.0394 28.0652
            798                   : 64.5659 28.4972
            800                   : 63.5868 29.3966
            802                   : 62.5582 30.3495
            804                   : 61.4703 31.3656
            805                   : 60.8999 31.9013
            806                   : 60.3091 32.4583
            807                   : 59.6951 33.0393
            809                   : 58.3839 34.2869
            810                   : 88.2839 45.443
            811                   : 87.985 41.1886
            812                   : 87.6859 37.6766
            816                   : 86.4862 28.5973
            817                   : 86.1854 27.1486
            818                   : 85.8841 25.9172
            819                   : 85.5824 24.8672
            820                   : 85.2801 23.9694
            822                   : 84.6739 22.5422
            823                   : 84.3698 21.9783
            824                   : 84.0651 21.4964
            825                   : 83.7596 21.0858
            826                   : 83.4534 20.7376
            827                   : 83.1464 20.4445
            829                   : 82.5299 19.9989
            830                   : 82.2202 19.8366
            831                   : 81.9095 19.709
            835                   : 80.6562 19.4846
            836                   : 80.3399 19.4878
            837                   : 80.0223 19.5109
            838                   : 79.7034 19.5523
            839                   : 79.383 19.6107
            840                   : 79.0612 19.6849
            841                   : 78.7379 19.7738
            843                   : 78.0863 19.992
            846                   : 77.0958 20.4089
            847                   : 76.7618 20.5693
            849                   : 76.0875 20.9193
            850                   : 75.747 21.1081
            851                   : 75.4042 21.3056
            852                   : 75.059 21.5116
            853                   : 74.7112 21.7257
            854                   : 74.3608 21.9478
            856                   : 73.6515 22.4151
            858                   : 72.9301 22.9124
            859                   : 72.5645 23.172
            860                   : 72.1953 23.4389
            861                   : 71.8226 23.713
            862                   : 71.446 23.9943
            864                   : 70.6806 24.5787
            865                   : 70.2913 24.8819
            866                   : 69.8973 25.1925
            867                   : 69.4984 25.5108
            868                   : 69.0942 25.8367
            869                   : 68.6845 26.1706
            870                   : 68.269 26.5126
            872                   : 67.4189 27.2222
            873                   : 66.9836 27.5904
            874                   : 66.5407 27.9679
            875                   : 66.0898 28.3554
            877                   : 65.1614 29.162
            878                   : 64.6826 29.5824
            881                   : 63.1772 30.9216
            882                   : 62.6489 31.3975
            883                   : 62.1049 31.8902
            884                   : 61.5437 32.4015
            885                   : 60.9632 32.9332
            886                   : 60.361 33.4879
            887                   : 59.734 34.0686
            888                   : 59.0786 34.6787
            889                   : 58.3899 35.3232
            890                   : 57.6618 36.0081
            891                   : 88.2694 52.3299
            892                   : 87.968 48.0736
            893                   : 87.6663 44.4229
            894                   : 87.3643 41.2955
            895                   : 87.062 38.6144
            896                   : 86.7594 36.3113
            898                   : 86.1529 32.6147
            900                   : 85.5446 29.8433
            901                   : 85.2397 28.7228
            902                   : 84.9341 27.7464
            904                   : 84.3212 26.1511
            905                   : 84.0137 25.5022
            906                   : 83.7054 24.9363
            908                   : 83.0865 24.0162
            909                   : 82.7758 23.6464
            910                   : 82.4641 23.3283
            911                   : 82.1515 23.0566
            912                   : 81.8378 22.8267
            913                   : 81.523 22.6346
            915                   : 80.8901 22.3504
            917                   : 80.2523 22.1809
            918                   : 79.9313 22.1335
            919                   : 79.609 22.1084
            920                   : 79.2852 22.104
            921                   : 78.9599 22.1187
            924                   : 77.9739 22.2659
            925                   : 77.6417 22.3457
            926                   : 77.3076 22.4395
            927                   : 76.9715 22.5464
            928                   : 76.6333 22.6659
            929                   : 76.293 22.7973
            930                   : 75.9504 22.94
            931                   : 75.6054 23.0937
            932                   : 75.258 23.2578
            933                   : 74.908 23.432
            934                   : 74.5553 23.6159
            935                   : 74.1998 23.8093
            937                   : 73.4798 24.2235
            940                   : 72.3753 24.9106
            941                   : 71.9999 25.1567
            942                   : 71.6206 25.4111
            943                   : 71.2373 25.674
            944                   : 70.8495 25.9451
            945                   : 70.4573 26.2247
            946                   : 70.0603 26.5127
            947                   : 69.6581 26.8093
            948                   : 69.2507 27.1146
            949                   : 68.8376 27.4286
            951                   : 67.9929 28.0842
            952                   : 67.5606 28.4261
            953                   : 67.121 28.7779
            954                   : 66.6737 29.1401
            956                   : 65.7535 29.897
            957                   : 65.2793 30.2929
            958                   : 64.7947 30.7014
            959                   : 64.2988 31.1232
            960                   : 63.7906 31.5592
            962                   : 62.7325 32.4788
            963                   : 62.1796 32.965
            964                   : 61.6084 33.4712
            965                   : 61.0166 33.9996
            966                   : 60.4016 34.5528
            967                   : 59.7599 35.1342
            968                   : 59.0873 35.7479
            969                   : 58.3782 36.3996
            970                   : 57.6253 37.0963
            971                   : 56.8185 37.8483
            972                   : 88.2544 57.6683
            974                   : 87.646 49.9965
            975                   : 87.3414 46.8283
            976                   : 87.0364 44.0453
            977                   : 86.7311 41.6022
            980                   : 85.8126 35.911
            981                   : 85.5055 34.4481
            982                   : 85.1977 33.1572
            983                   : 84.8894 32.0167
            984                   : 84.5804 31.008
            986                   : 83.9604 29.3256
            988                   : 83.3373 28.0085
            989                   : 83.0244 27.4626
            990                   : 82.7106 26.9814
            991                   : 82.3959 26.5583
            992                   : 82.0801 26.1878
            993                   : 81.7633 25.8647
            994                   : 81.4454 25.5848
            995                   : 81.1262 25.3442
            996                   : 80.8059 25.1395
            997                   : 80.4842 24.9678
            998                   : 80.1612 24.8263
            999                   : 79.8368 24.7128
            1001                   : 79.1835 24.5614
            1002                   : 78.8544 24.52
            1003                   : 78.5237 24.4994
            1004                   : 78.1912 24.4982
            1005                   : 77.8568 24.5153
            1007                   : 77.1823 24.6
            1008                   : 76.8419 24.6658
            1009                   : 76.4994 24.7461
            1011                   : 75.8073 24.9476
            1012                   : 75.4576 25.0675
            1013                   : 75.1052 25.1996
            1014                   : 74.7502 25.3433
            1015                   : 74.3923 25.4983
            1016                   : 74.0313 25.6643
            1017                   : 73.6673 25.8408
            1018                   : 73.3 26.0276
            1019                   : 72.9292 26.2246
            1020                   : 72.5549 26.4314
            1021                   : 72.1767 26.6481
            1022                   : 71.7946 26.8743
            1023                   : 71.4082 27.1102
            1024                   : 71.0175 27.3555
            1025                   : 70.6221 27.6104
            1028                   : 69.4053 28.4323
            1029                   : 68.9885 28.7257
            1030                   : 68.5655 29.0291
            1031                   : 68.1359 29.3427
            1032                   : 67.6994 29.6668
            1033                   : 67.2553 30.0018
            1035                   : 66.3425 30.7056
            1036                   : 65.8725 31.0755
            1037                   : 65.3925 31.4583
            1038                   : 64.9016 31.8545
            1039                   : 64.399 32.2652
            1040                   : 63.8834 32.6912
            1041                   : 63.3536 33.1337
            1043                   : 62.2454 34.0743
            1048                   : 59.0784 36.8576
            1049                   : 58.3455 37.5193
            1050                   : 57.5633 38.2319
            1051                   : 56.7191 39.0082
            1053                   : 88.2389 61.8622
            1054                   : 87.9321 58.0486
            1055                   : 87.625 54.5993
            1056                   : 87.3176 51.4964
            1057                   : 87.0099 48.7153
            1058                   : 86.7018 46.2281
            1059                   : 86.3933 44.0066
            1060                   : 86.0843 42.0232
            1062                   : 85.4648 38.6711
            1063                   : 85.1542 37.258
            1065                   : 84.5311 34.8649
            1066                   : 84.2185 33.854
            1067                   : 83.9051 32.9493
            1069                   : 83.2759 31.4157
            1070                   : 82.9599 30.7685
            1071                   : 82.643 30.1907
            1072                   : 82.325 29.6757
            1073                   : 82.006 29.2176
            1074                   : 81.6859 28.8114
            1075                   : 81.3646 28.4525
            1077                   : 80.7183 27.861
            1078                   : 80.3931 27.6216
            1080                   : 79.7384 27.2413
            1081                   : 79.4088 27.0955
            1083                   : 78.7446 26.8828
            1084                   : 78.4099 26.8122
            1085                   : 78.0733 26.7636
            1086                   : 77.7348 26.7355
            1087                   : 77.3942 26.7268
            1089                   : 76.7067 26.7631
            1090                   : 76.3595 26.8063
            1091                   : 76.0099 26.8651
            1092                   : 75.6577 26.9389
            1093                   : 75.3029 27.0268
            1095                   : 74.5849 27.2433
            1096                   : 74.2214 27.3708
            1097                   : 73.8547 27.5106
            1098                   : 73.4847 27.6623
            1100                   : 72.7339 28.0005
            1102                   : 71.9677 28.3832
            1103                   : 71.5782 28.5909
            1105                   : 70.7855 29.0384
            1106                   : 70.3818 29.2781
            1107                   : 69.9727 29.5285
            1109                   : 69.1372 30.0616
            1110                   : 68.7101 30.3446
            1111                   : 68.2761 30.6388
            1114                   : 66.9288 31.5915
            1115                   : 66.4626 31.9337
            1116                   : 65.9867 32.2891
            1117                   : 65.5004 32.6584
            1119                   : 64.4926 33.4417
            1120                   : 63.9689 33.8577
            1121                   : 63.4302 34.2916
            1123                   : 62.301 35.2193
            1125                   : 61.0876 36.2414
            1127                   : 59.764 37.3831
            1128                   : 59.0486 38.0109
            1129                   : 58.2876 38.6864
            1130                   : 57.4699 39.4206
            1131                   : 56.5793 40.2297
            1132                   : 55.5899 41.1395
            1133                   : 54.4555 42.1962
